county,candidate,party,votes,state,race name
Del Norte,Herbert G. Peters,DEM,17,CA,U.S. Senate
Del Norte,Douglas Howard Pierce,DEM,49,CA,U.S. Senate
Del Norte,Gerald Plummer,DEM,14,CA,U.S. Senate
Del Norte,Donnie O. Turner,DEM,29,CA,U.S. Senate
Del Norte,Arun K. Bhumitra,REP,91,CA,U.S. Senate
Del Norte,James P Bradley,REP,478,CA,U.S. Senate
Del Norte,"John ""Jack"" Crew",REP,121,CA,U.S. Senate
Del Norte,Erin Cruz,REP,545,CA,U.S. Senate
Del Norte,"Roque ""Rocky"" De La Fuente",REP,75,CA,U.S. Senate
Del Norte,Jerry Joseph Laws,REP,91,CA,U.S. Senate
Del Norte,Patrick Little,REP,79,CA,U.S. Senate
Del Norte,Kevin Mottus,REP,82,CA,U.S. Senate
Del Norte,Mario Nabliba,REP,37,CA,U.S. Senate
Del Norte,Tom Palzer,REP,343,CA,U.S. Senate
Del Norte,Paul A Taylor,REP,338,CA,U.S. Senate
Del Norte,Derrick Michael Reid,LIB,25,CA,U.S. Senate
Del Norte,John Thompson Parker,P&F,34,CA,U.S. Senate
Del Norte,Colleen Shea Fernald,NPP,12,CA,U.S. Senate
Del Norte,Rash Bihari Ghosh,NPP,6,CA,U.S. Senate
Del Norte,Tim Gildersleeve,NPP,12,CA,U.S. Senate
Del Norte,Michael Fahmy Girgis,NPP,0,CA,U.S. Senate
Del Norte,Don J. Grundmann,NPP,25,CA,U.S. Senate
Del Norte,Jason M. Hanania,NPP,15,CA,U.S. Senate
Del Norte,David Moore,NPP,21,CA,U.S. Senate
Del Norte,Lee Olson,NPP,13,CA,U.S. Senate
Del Norte,Ling Ling Shi,NPP,3,CA,U.S. Senate
El Dorado,Kevin De Leon,DEM,"2,412",CA,U.S. Senate
El Dorado,Adrienne Nicole Edwards,DEM,197,CA,U.S. Senate
El Dorado,Dianne Feinstein,DEM,"11,163",CA,U.S. Senate
El Dorado,Pat Harris,DEM,331,CA,U.S. Senate
El Dorado,Alison Hartson,DEM,739,CA,U.S. Senate
El Dorado,David Hildebrand,DEM,63,CA,U.S. Senate
El Dorado,Herbert G. Peters,DEM,189,CA,U.S. Senate
El Dorado,Douglas Howard Pierce,DEM,149,CA,U.S. Senate
El Dorado,Gerald Plummer,DEM,60,CA,U.S. Senate
El Dorado,Donnie O. Turner,DEM,127,CA,U.S. Senate
El Dorado,Arun K. Bhumitra,REP,"1,175",CA,U.S. Senate
El Dorado,James P Bradley,REP,"6,048",CA,U.S. Senate
El Dorado,"John ""Jack"" Crew",REP,756,CA,U.S. Senate
El Dorado,Erin Cruz,REP,"2,605",CA,U.S. Senate
El Dorado,"Roque ""Rocky"" De La Fuente",REP,674,CA,U.S. Senate
El Dorado,Jerry Joseph Laws,REP,579,CA,U.S. Senate
El Dorado,Patrick Little,REP,466,CA,U.S. Senate
El Dorado,Kevin Mottus,REP,678,CA,U.S. Senate
El Dorado,Mario Nabliba,REP,219,CA,U.S. Senate
El Dorado,Tom Palzer,REP,"1,009",CA,U.S. Senate
El Dorado,Paul A Taylor,REP,"2,020",CA,U.S. Senate
El Dorado,Derrick Michael Reid,LIB,455,CA,U.S. Senate
El Dorado,John Thompson Parker,P&F,71,CA,U.S. Senate
El Dorado,Colleen Shea Fernald,NPP,88,CA,U.S. Senate
El Dorado,Rash Bihari Ghosh,NPP,63,CA,U.S. Senate
El Dorado,Tim Gildersleeve,NPP,47,CA,U.S. Senate
El Dorado,Michael Fahmy Girgis,NPP,6,CA,U.S. Senate
El Dorado,Don J. Grundmann,NPP,126,CA,U.S. Senate
El Dorado,Jason M. Hanania,NPP,98,CA,U.S. Senate
El Dorado,David Moore,NPP,96,CA,U.S. Senate
El Dorado,Lee Olson,NPP,108,CA,U.S. Senate
El Dorado,Ling Ling Shi,NPP,34,CA,U.S. Senate
Fresno,Kevin De Leon,DEM,"7,103",CA,U.S. Senate
Fresno,Adrienne Nicole Edwards,DEM,459,CA,U.S. Senate
Fresno,Dianne Feinstein,DEM,"25,226",CA,U.S. Senate
Fresno,Pat Harris,DEM,"2,581",CA,U.S. Senate
Fresno,Alison Hartson,DEM,"1,288",CA,U.S. Senate
Fresno,David Hildebrand,DEM,456,CA,U.S. Senate
Fresno,Herbert G. Peters,DEM,407,CA,U.S. Senate
Fresno,Douglas Howard Pierce,DEM,729,CA,U.S. Senate
Fresno,Gerald Plummer,DEM,493,CA,U.S. Senate
Fresno,Donnie O. Turner,DEM,628,CA,U.S. Senate
Fresno,Arun K. Bhumitra,REP,"1,921",CA,U.S. Senate
Fresno,James P Bradley,REP,"10,763",CA,U.S. Senate
Fresno,"John ""Jack"" Crew",REP,"1,323",CA,U.S. Senate
Fresno,Erin Cruz,REP,"3,683",CA,U.S. Senate
Fresno,"Roque ""Rocky"" De La Fuente",REP,"3,619",CA,U.S. Senate
Fresno,Jerry Joseph Laws,REP,931,CA,U.S. Senate
